asv_id,total_reads
1SO11952,5.0
1SO11954,2.0
1SO11955,5.0
1SO11957,5.0
1SO11963,5.0
1SO11966,5.0
1SO11968,5.0
1SO11969,5.0
1SO1197,766.0
1SO11972,3.0
1SO11978,5.0
1SO1198,765.0
1SO11980,5.0
1SO11981,5.0
1SO11983,5.0
1SO11984,5.0
1SO11988,5.0
1SO11989,4.0
1SO1199,761.0
1SO11990,5.0
1SO11992,5.0
1SO11996,4.0
1SO11998,5.0
1SO11999,2.0
1SO12,8045.0
1SO120,1.0
1SO1200,763.0
1SO12001,4.0
1SO12002,5.0
1SO12004,5.0
1SO12006,5.0
1SO1201,2.0
1SO12011,5.0
1SO12019,5.0
1SO1202,762.0
1SO12024,5.0
1SO12026,5.0
1SO12028,2.0
1SO12029,5.0
1SO12031,5.0
1SO12034,5.0
1SO12037,5.0
1SO12039,5.0
1SO1204,629.0
1SO12040,5.0
1SO12042,5.0
1SO12045,5.0
1SO12046,5.0
1SO12048,5.0
1SO12050,5.0
1SO12053,5.0
1SO12054,2.0
1SO12057,5.0
1SO1206,699.0
1SO12060,5.0
1SO12063,5.0
1SO12065,1.0
1SO12068,2.0
1SO12070,5.0
1SO12076,5.0
1SO12082,5.0
1SO12084,5.0
1SO12086,5.0
1SO12087,5.0
1SO1209,10.0
1SO12093,5.0
1SO12094,5.0
1SO12099,5.0
1SO121,576.0
1SO12100,1.0
1SO12102,5.0
1SO12105,5.0
1SO12106,5.0
1SO12111,5.0
1SO12112,2.0
1SO12113,1.0
1SO12114,5.0
1SO12117,5.0
1SO12119,5.0
1SO12120,1.0
1SO12122,5.0
1SO12123,2.0
1SO12127,3.0
1SO12129,1.0
1SO1213,755.0
1SO12131,5.0
1SO12133,1.0
1SO12134,5.0
1SO1214,751.0
1SO12140,2.0
1SO12141,1.0
1SO12145,5.0
1SO12149,1.0
1SO1215,750.0
1SO12151,5.0
1SO12158,5.0
1SO1216,1.0
1SO12163,5.0
1SO12164,1.0
1SO12165,5.0
1SO12166,5.0
1SO1217,750.0
1SO12172,5.0
1SO12178,5.0
1SO1218,749.0
1SO12180,1.0
1SO12186,4.0
1SO12187,5.0
1SO1219,11.0
1SO12190,5.0
1SO12192,2.0
